IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.45,-122.31
SFO,San Francisco International Airport,San Francisco,CA,USA,37.62,-122.37
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24,-93.39
SGU,St. George Regional Airport,St George,UT,USA,37.09,-113.59
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.45,-93.83
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.05,-135.36
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36,-121.93
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.36,-100.50
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.44,-66.00
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.79,-111.98
SMF,Sacramento International Airport,Sacramento,CA,USA,38.70,-121.59
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.90,-120.46
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.68,-117.87
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84,-89.68
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.99,-98.49
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.40,-82.55
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.55,-94.06
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.75,-90.36
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.34,-64.97
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70,-64.80
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50,-114.30
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.40,-96.38
SWF,Stewart International Airport,Newburgh,NY,USA,41.50,-74.10
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11,-76.11
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.40,-84.35
TOL,Toledo Express Airport,Toledo,OH,USA,41.59,-83.81
TPA,Tampa International Airport,Tampa,FL,USA,27.98,-82.53
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.48,-82.41
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.28,-74.81
